772,82,3,C2-15-04,50,50,220,0
772,37,2,C1-36-04,40,120,40,0
772,16,2,C1-32-03,110,130,110,87
773,85,1,B1-35-02,150,25,240,0
774,93,1,B2-36-04,150,20,230,0
775,88,1,A2-41-02,150,20,230,0
776,77,1,B1-33-04,150,20,210,0
777,47,2,B1-21-03,110,60,235,0
777,56,2,A2-31-03,180,170,110,0
777,16,2,C1-32-03,110,130,110,87
777,81,2,C1-13-04,40,20,220,0
777,35,3,C1-16-03,80,100,80,0
778,25,4,A2-22-03,140,20,300,0
778,81,5,C1-13-04,40,20,220,0
778,56,5,A2-31-03,180,170,110,0
779,54,3,B1-26-03,150,80,150,0
779,57,2,A2-32-03,180,170,110,0
779,49,2,B1-23-04,50,40,150,0
780,35,3,C1-16-03,80,100,80,0
781,75,2,A2-13-03,130,50,130,0
781,66,3,B1-11-03,60,180,60,0
781,80,2,C2-11-03,50,50,220,0
782,37,2,C1-36-04,40,120,40,0
782,73,2,A2-12-03,50,120,40,0
783,16,1,C1-32-03,110,130,110,87
783,52,2,B1-26-04,240,60,50,0
784,5,1,A2-14-02,110,280,50,1100
785,96,2,C2-34-04,140,90,140,0
785,19,1,C1-13-03,40,130,40,0
786,25,2,A2-22-03,140,20,300,0
786,4,1,A2-13-02,100,250,40,845
787,53,2,B1-24-04,220,70,40,0
787,2,1,B1-22-02,100,150,40,589
788,13,3,C2-35-03,160,10,200,53
788,56,2,A2-31-03,180,170,110,0
788,80,2,C2-11-03,50,50,220,0
789,2,3,B1-22-02,100,150,40,589
789,77,2,B1-33-04,150,20,210,0
789,91,3,A2-32-02,140,15,200,0
790,89,2,C1-24-03,120,10,190,0
790,92,3,B2-22-02,150,15,220,0
790,65,3,B1-13-03,100,20,130,0
791,100,2,C1-24-04,110,1,180,0
791,56,3,A2-31-03,180,170,110,0
792,69,2,B1-12-02,140,50,50,0
792,48,3,B1-21-04,150,40,80,0
792,15,2,B1-44-03,120,20,260,139
793,97,3,C2-25-03,90,110,90,0
793,98,2,C2-12-02,90,110,90,0
793,78,3,C1-12-04,70,60,160,0
794,25,1,A2-22-03,140,20,300,0
795,89,2,C1-24-03,120,10,190,0
795,85,1,B1-35-02,150,25,240,0
796,49,1,B1-23-04,50,40,150,0
796,5,1,A2-14-02,110,280,50,1100
797,71,1,A2-11-02,230,120,50,0
797,65,2,B1-13-03,100,20,130,0
798,82,2,C2-15-04,50,50,220,0
799,3,2,B2-33-02,150,280,80,0
800,9,2,B2-13-02,80,50,80,0
801,36,1,A2-42-03,40,120,40,0
802,49,1,B1-23-04,50,40,150,0
803,29,2,C1-26-02,50,260,50,0
803,81,2,C1-13-04,40,20,220,0
804,15,2,B1-44-03,120,20,260,139
804,14,3,B2-42-03,100,10,200,58
804,90,2,B2-32-03,150,20,220,0
805,3,2,B2-33-02,150,280,80,0
805,57,2,A2-32-03,180,170,110,0
806,74,1,A2-14-03,230,50,100,0
807,18,2,B1-14-03,190,10,160,90
807,97,2,C2-25-03,90,110,90,0
808,57,2,A2-32-03,180,170,110,0
808,51,3,B1-24-03,150,50,90,0
808,91,3,A2-32-02,140,15,200,0
808,25,3,A2-22-03,140,20,300,0
809,90,2,B2-32-03,150,20,220,0
809,66,3,B1-11-03,60,180,60,0
809,75,3,A2-13-03,130,50,130,0
810,15,2,B1-44-03,120,20,260,139
810,18,3,B1-14-03,190,10,160,90
810,14,2,B2-42-03,100,10,200,58
810,75,2,A2-13-03,130,50,130,0
810,57,3,A2-32-03,180,170,110,0
